datetime,username,event
2019-12-06 01:02:22.800357,saviesavie,attempt
2019-12-06 01:02:22.439086,button,click
2019-12-06 01:01:58.203779,saviesavie,success
2019-12-06 01:01:57.478966,saviesavie,attempt
2019-12-06 01:01:57.066518,button,click
2019-12-06 00:46:18.424638,saviesavie,success
2019-12-06 00:46:17.780556,saviesavie,attempt
2019-12-06 00:46:17.425583,button,click
2019-12-06 00:45:34.741460,saviesavie,success
2019-12-06 00:45:34.103149,saviesavie,attempt
2019-12-06 00:45:33.760806,button,click
2019-12-06 00:44:31.550721,saviesavie,success
2019-12-06 00:44:30.880000,saviesavie,attempt
2019-12-06 00:44:30.516796,button,click
2019-12-06 00:43:52.258581,saviesavie,success
2019-12-06 00:43:51.617233,saviesavie,attempt
2019-12-06 00:43:51.259896,button,click
2019-12-06 00:42:29.934434,saviesavie,success
2019-12-06 00:42:29.301466,saviesavie,attempt
2019-12-06 00:42:28.916010,button,click
2019-12-06 00:41:54.406438,saviesavie,success
2019-12-06 00:41:53.772280,saviesavie,attempt
2019-12-06 00:41:53.435880,button,click
2019-12-06 00:40:47.288473,saviesavie,success
2019-12-06 00:40:46.667090,saviesavie,attempt
2019-12-06 00:40:46.293993,button,click
2019-12-06 00:39:46.945920,saviesavie,success
2019-12-06 00:39:46.329539,saviesavie,attempt
2019-12-06 00:39:45.990394,button,click
2019-12-06 00:38:53.030669,saviesavie,success
2019-12-06 00:38:52.348255,saviesavie,attempt
2019-12-06 00:38:51.963484,button,click
2019-12-06 00:36:56.334791,saviesavie,success
2019-12-06 00:36:55.708000,saviesavie,attempt
2019-12-06 00:36:55.362453,button,click
2019-12-06 00:36:42.430031,saviesavie,success
2019-12-06 00:36:41.734740,saviesavie,attempt
2019-12-06 00:36:41.370672,button,click
2019-12-06 00:35:47.250293,saviesavie,success
2019-12-06 00:35:46.623906,saviesavie,attempt
2019-12-06 00:35:46.235466,button,click
2019-12-06 00:34:01.734248,saviesavie,success
2019-12-06 00:34:01.081559,saviesavie,attempt
2019-12-06 00:34:00.707753,button,click
2019-12-06 00:30:22.205529,saviesavie,success
2019-12-06 00:30:21.544663,saviesavie,attempt
2019-12-06 00:30:21.197334,button,click
2019-12-06 00:29:58.552482,saviesavie,success
2019-12-06 00:29:57.912054,saviesavie,attempt
2019-12-06 00:29:57.577253,button,click
2019-12-06 00:29:43.465472,saviesavie,success
2019-12-06 00:29:42.718796,saviesavie,attempt
2019-12-06 00:29:42.391844,button,click
2019-12-06 00:29:19.787420,saviesavie,success
2019-12-06 00:29:19.090165,saviesavie,attempt
2019-12-06 00:29:18.542490,button,click
2019-12-06 00:28:57.161601,saviesavie,success
2019-12-06 00:28:56.543659,saviesavie,attempt
2019-12-06 00:28:56.203177,button,click
